All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    scaffolds
# contigs (>= 0 bp)         69       
# contigs (>= 1000 bp)      18       
# contigs (>= 5000 bp)      16       
# contigs (>= 10000 bp)     14       
# contigs (>= 25000 bp)     13       
# contigs (>= 50000 bp)     10       
Total length (>= 0 bp)      3120697  
Total length (>= 1000 bp)   3111126  
Total length (>= 5000 bp)   3104566  
Total length (>= 10000 bp)  3089939  
Total length (>= 25000 bp)  3077556  
Total length (>= 50000 bp)  2985873  
# contigs                   19       
Largest contig              711421   
Total length                3111645  
GC (%)                      37.65    
N50                         485854   
N75                         204006   
L50                         3        
L75                         6        
# N's per 100 kbp           27.67    
