Assembly	assembly
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	10
# contigs (>= 10000 bp)	10
# contigs (>= 25000 bp)	7
# contigs (>= 50000 bp)	4
Total length (>= 0 bp)	3192055
Total length (>= 1000 bp)	3192055
Total length (>= 5000 bp)	3185653
Total length (>= 10000 bp)	3185653
Total length (>= 25000 bp)	3141733
Total length (>= 50000 bp)	3043836
# contigs	12
Largest contig	1414511
Total length	3192055
GC (%)	37.71
N50	1362695
N75	1362695
L50	2
L75	2
# N's per 100 kbp	0.00
